username,comment,comment_cleansing,predict_label
@alvinvinoza,"['naikin', 'gaji']",naikin gaji,Netral
@MuklasinMuklasin-k6w,"['kalo', 'hukum', 'mati', 'kiamat', 'negeri', 'korupsi']",kalo hukum mati kiamat negeri korupsi,Negatif
@infotodax,"['enggak', 'bayang', 'gaji', 'lu', 'serakah', 'lu']",enggak bayang gaji lu serakah lu,Negatif
@febbriyansaputra4132,"['tolong', 'host', 'support', 'lindung']",tolong host support lindung,Netral
@chalvit4162,"['berita', 'kayak', 'bawa', 'santai', 'tajam', 'abang', 'ku']",berita kayak bawa santai tajam abang ku,Positif
@niutto5910,"['korupsi', 'pertamina', 'budaya', 'darah', 'daging', 'jabat', 'bongkar', 'lambat', 'bumn', 'institusi', 'perintah', 'korup', 'bongkar', 'moga', 'perintah', 'prabowo', 'berantas', 'korupsi', 'janji']",korupsi pertamina budaya darah daging jabat bongkar lambat bumn institusi perintah korup bongkar moga perintah prabowo berantas korupsi janji,Negatif
@MuhammadRusmadi-o7k,"['gila', 'biasa', 'dengar', 'korupsi', 'ratus', 'triliun', 'sumpah', 'tuhan', 'indonesia', 'emas', 'indonesia', 'sakaratul', 'maut']",gila biasa dengar korupsi ratus triliun sumpah tuhan indonesia emas indonesia sakaratul maut,Negatif
@johansigarantang,"['pria', 'berani', 'ahmed', 'nurmagedov', 'host', 'berita', 'metro', 'tv', 'ku', 'kreatif', 'berani', 'dukung', 'sembunyi']",pria berani ahmed nurmagedov host berita metro tv ku kreatif berani dukung sembunyi,Positif
@alfath4971,"['pertamina', 'pln', 'selidik', 'rugi', 'kpk', 'woi', 'kerja']",pertamina pln selidik rugi kpk woi kerja,Negatif
@Lyvimoon,"['shesshh', 'fokus', 'masak', 'lupa', 'atur', 'api', 'bara', 'lindung', 'beliauu', 'jabat', 'baperan', 'enggak', 'terima', 'katai', 'hukum', 'alas', 'mencerkan', 'nama', 'semoag', 'enggak', 'deh', 'jabat', 'enggak', 'tau', 'kayak', 'otw', 'subrekk']",shesshh fokus masak lupa atur api bara lindung beliauu jabat baperan enggak terima katai hukum alas mencerkan nama semoag enggak deh jabat enggak tau kayak otw subrekk,Negatif
@Rizallaufa_2014Rizallaufa,"['tulis', 'naskah', 'harga', 'cooking', 'liga', 'korupsi']",tulis naskah harga cooking liga korupsi,Negatif
@imanradiman-xb7sq,"['tuju', 'ucap', 'karen', 'bongkar', 'nikmat', 'korupsi', 'takut', 'tanggung', 'nama', 'ragu', 'ok']",tuju ucap karen bongkar nikmat korupsi takut tanggung nama ragu ok,Positif
@anasrullah4641,"['let', 'him', 'cook']",let him cook,Negatif
@ardia2308,"['kangen', 'hakim', 'vonis', 'koruptor', 'hukum', 'mati', 'minimal', 'penjara']",kangen hakim vonis koruptor hukum mati minimal penjara,Negatif
@rudypri100,"['korupsi', 'minimal', 'milyar', 'hukum', 'mati', 'indonesia', 'makmur', 'tuju', 'enggak']",korupsi minimal milyar hukum mati indonesia makmur tuju enggak,Negatif
@ojolgaming9138,"['tatap', 'mata', 'jelas', 'jujur', 'tutup']",tatap mata jelas jujur tutup,Positif
@ForumAnakBangsa,"['media', 'harusmya', 'berita', 'cerdas', 'warga', 'negara']",media harusmya berita cerdas warga negara,Positif
@ManzrealID,"['tonton', 'berita']",tonton berita,Positif
@KYA057,"['berita', 'tepi', 'jurang']",berita tepi jurang,Negatif
@nr777s,"['stand', 'up', 'terjun', 'jurang']",stand up terjun jurang,Negatif
@tayokids8865,"['lugas', 'adab', 'mantap', 'jelas', 'salam', 'hormat', 'karen']",lugas adab mantap jelas salam hormat karen,Positif
@kidemang8606,"['gila', 'presiden', 'rakyat', 'dukung', 'mu', 'terbit', 'perpu', 'rampas', 'aset', 'koruptor', 'presiden']",gila presiden rakyat dukung mu terbit perpu rampas aset koruptor presiden,Positif
@sukoharjan1505,"['tampak', 'karen', 'tegar', 'lancar']",tampak karen tegar lancar,Positif
@Djaisabdulajis,"['demo', 'mahasiswa', 'desak', 'perintah', 'hukum', 'berat', 'koruptor', 'sah', 'uu', 'rampas', 'aset']",demo mahasiswa desak perintah hukum berat koruptor sah uu rampas aset,Negatif
