text,label,predict_label
pastikan internet sobat lancar,0,Positif
spesial paket on aktif th cuma rb total kuota gb gbbl blbonusnya mingguan kunjungi s amp,0,Positif
oi ngerti bahasa indonesia kan pokok nya sampe jam belon beres gua gratis jam mokad gratis dst lu gila mati service melulu jam berkali amp,2,Negatif
hallo kak kuota amp,0,Netral
hai kak alfiyan maaf terkait akses internet lambat ya kak yuk infokan nomor hp kejadian lokasi min kelurahan amp,0,Positif
udah seminggu responnya gitu mulu ah bosen jangan diteruskan amp,2,Negatif
dateng aja sekalian bawa tuh modem amp,0,Netral
min kalo pasang gak ya takut nya berbulan,2,Positif
tolong rek bayar ku larang ho bendino mbrebet cok,2,Negatif
restart otak nya kk,2,Negatif
kalo putus nyambung wkwk,2,Negatif
ya mas,2,Positif
konsep torrent sharing data aja gua kaga paham udah nft mending reset modem speedy eh aja,2,Positif
bangun jd anak,2,Netral
lg dirumah,2,Positif
fuvk,2,Negatif
debut roback ac milan streaming asik lelet,2,Positif
sih elahh,2,Negatif
halo bantu restart jaringan darisana ga sih jujur cape banget sabar mulu ngadepin no internet,2,Positif
isi twit keluh kesah doang dibikinin novel keluh kesah,2,Negatif
internet mati nyala mulu sekali nya nyala lemot udah telp iya bantu restart pusat tetep aja kaga perubahan mbps brodii paket nya kasih lemot mulu mati mulu kudu restart,2,Negatif
jelek bener dah koneksi nya,2,Negatif
lemot bgt,2,Negatif
kenapaa tolong,2,Negatif
coba tpi ku ga support max p,2,Positif
hadeehh goblok,2,Negatif
min tv gak berlangganan stb,2,Netral
biznet myrep gw ajg keren bgt wifinya,2,Positif
mantap emng,2,Positif
tagihan listrik pln tagihan pam setahun,2,Netral
puas nonton netflix nya via tidur,2,Positif
berhenti berlangganan tolong,2,Negatif
biar suka mati mas benerin cepet banget datengnya trus ramah gabisa marah,2,Negatif
jaringan nya busuk siiee,2,Negatif
ngapa bgt engga connect ye internet gw malem,2,Negatif
semangat kerjaan numpuk ya kawan bersyukur ikhlas kunci yg kerjakan berkah in,2,Positif
bingung ganti password internet ah udah ga jaman nih tips ganti password internet ont zte,2,Positif
apasi anjing jam segini merah,2,Negatif
blm selesai ak denger tp lemot,2,Negatif
gara tau bersihin mesin cuci,2,Negatif
lemot ya,2,Negatif
gajelas taii yg nonton youtube hd lancar kesini lancar doang eh lancar nya yg pake device gajelas gada perubahan udah komplen,2,Positif
gangguan jam sampe jam moment begadang nikmat jam segitu sedih,2,Negatif
pilihan hidup salah gua memutuskan pake satt lemot nya,2,Negatif
blokir pengguna wifi mudah,2,Negatif
ko lemot bgt si,2,Negatif
pasang internet drama dipake buru,2,Negatif
aplikasi tuh sih lamaa banget loadingnya bayar tagihan standby menit layar aplikasi aja ga selesai loadingnya,2,Positif
dangdut bgt wkwkwk deg degan bs liat kek nak,2,Negatif
uda maki hati salah paham,2,Negatif
dhlh gw sumpahin bantal lo panas sisi charger lo angle headsetlo error sebelah anjg,2,Negatif
urng pake indihell sih ya allah eror mulu jaringan nya,2,Negatif
aja gangguan pas banget jadwal inter vs liverpool,2,Negatif
udah pengen nangis belom liat ulah,2,Negatif
kode error muncul tv gausa bingung sobat yuk cari tau mengatasi nya biar healing tenang nyaman,2,Positif
admin persib geus salevel eusina dihujat hungkul,2,Negatif
ngambek,2,Negatif
udah nih langganan nya,2,Positif
ribut yu,2,Negatif
jaringan lo bener kacau dah jelek bgt,2,Negatif
sedi bgt gabisa scroll ht nge stuck sejam yg pls bgtt,2,Negatif
komik online lag banget gara pakai,2,Positif
salah server tu ma,2,Negatif
lagger sejati,2,Negatif
noted on the outside hah on the inside nih yg suka gini kalo sm alasan nya cuungg gapapa lola ku yg lola wkwk,2,Negatif
tolong cek min,2,Netral
internetnya bermasalah ya nomor pelanggan cek dm ya cek aja histori komplen oh ya kalo gangguan gini emg pake buzzer driving sentimen gitu ya,2,Positif
kak jj langkah mohon dibantu restart modem nya jaringan terputus menit coba hubungkan terimakasih,2,Positif
sedih banget dm ig temen nanyain harga paket yakali salesnya emang sih kemukaan kaya sales gitu sales yakult,2,Negatif
gajadi anjg lg kerkel babik haram,2,Negatif
