username,comment,predict
@alvinvinoza,naikin gajinya,Negatif
@MuklasinMuklasin-k6w,kalo tidak ada hukuman mati sampek kiamat pun negeri ini masi saja ada yg korupsi,Negatif
@infotodax,gua gak kebayang gaji elu berapa tapi keserakahan lu luar biasa,Negatif
@febbriyansaputra4132,tolong host nya di support dan di lindungi ini,Negatif
@chalvit4162,harusnya berita ya kayak begini dibawa santai tapi tajam abang ku,Negatif
@niutto5910,korupsi di pertamina sudah menjadi budaya mendarah daging di setiap pejabatnya sejak dulu kala tapi baru dibongkar sekarang lebih baik terlambat dari pada tidak bumn dan institusi pemerintah lain juga sama korupnya harus dibongkar semua semoga pemerintahan prabowo benar bisa memberantas korupsi seperti yg dijanjikan,Negatif
@MuhammadRusmadi-o7k,gila lama jdi terbiasa denger korupsi smpe ratusan triliun sumpah demi tuhan jangankan menuju indonesia emas yg ada menuju indonesia sakaratul maut,Negatif
@johansigarantang,pria yang menurut gw pemberani ahmed nurmagedov host berita metro tv ini menurutku kreatif sama berani sekali kelihatan siapa yang mendukung dan siapa yang menyembunyikan,Netral
@alfath4971,pertamina dan pln harus di selidiki itu rugi terus kpk woi kerja,Negatif
@Lyvimoon,shesshh beliau terlalu fokus memasak sampai lupa mengatur apinya yang terlalu membara lindungi beliauu jangan sampe pejabat yang baperan dan gak terima dikatain seperti itu menghukum beliau dengan alasan mencerkan nama baik semoag gak ada deh pejabat yang gak tau diri kek gitu otw subrekk,Negatif
@Rizallaufa_2014Rizallaufa,penulis naskah harus di beri penghargaan cooking liga korupsi,Negatif
@imanradiman-xb7sq,saya setuju ucapan bu karen bongkar saja siapapun yg turut menikmati korupsi jangan takut dari pada ditanggung sendiri dan kalau bisa sebut saja namanya jangan ragu ok,Positif
@anasrullah4641,let him cook,Netral
@ardia2308,saya kangen ada hakim yg memvonis koruptor hukuman mati atau minimal tahun penjara,Negatif
@rudypri100,korupsi minimal milyar hukuman mati pasti indonesia makmur setuju nggak,Negatif
@ojolgaming9138,dari tatapan matanya saya rasa penjelasan ibu ini jujur dan tanpa ditutupi,Negatif
@ForumAnakBangsa,media harusmya begini bukan sekedar memberitakan tp juga mencerdaskan warga negara,Netral
@ManzrealID,baru kali ini nonton berita sampai akhir,Netral
@KYA057,berita tepi jurang,Netral
@nr777s,stand up terjun jurang,Negatif
@tayokids8865,luar biasa lugas beradab dan mantap penjelasannya salam hormat bu karen,Positif
@kidemang8606,gila pak presiden rakyat mendukungmu terbitkan perpu perampasan aset koruptor pak presiden,Positif
@sukoharjan1505,nampak bu karen sangat tegar dg jawaban yang lancar,Positif
@Djaisabdulajis,yg beginianlah yg hrs d didemo para mahasiswa desak pemerintah untuk hukum berat para koruptor dan mengesahkan uu perampasan aset,Negatif
@mariasyarif884,orang yg bersalah biasanya tidak mau berkomentar atau memberikan keterangan bahkan menganggap dirinya korban tapi ibu menjawab semua pertanyaan dengan lancar dan no komen ttg siapa yg mengorbankannya,Negatif
@carsahamdaniofficial,ribuan pemulung di bantargebang mencari uang ribu susah payah harus memilah sampah yg penuh penyakit ini orang malah seenaknya uang trilyunan dimakan melalui jabatan rakyat hanya bisa mendoakan agar mereka hidup jadi pemulung,Negatif
@IdeKreatif1814,tetap tegar tegas mentalnya kuat bngt bu smg ini hny ujian naik kelas byk berdoa krn allah swt maha tahu segalanya,Positif
@mahdinafi4393,korupsi aja semua terus sampai indonesia bangkrut,Negatif
@Mr4ngg4,tetap semangat tegar y bu karen insyaallah semua tabir akan terbuka waktu akan berbicara untuk mengungkap kebenaran,Positif
@nihnu-q7m,anjai kali ini metrotv mewakili saya sebagai penggemar bola,Netral
@pramistyo5025,yg rugi itu rakyat bukan negara tetap untung,Negatif
@cokhro7228,ibu karen bukan pelaku sebenarnya dia hanya dijadikan tumbal,Negatif
@syamsulusroqusroq3148,ini jawaban yang mantap tanpa teks jujur dari hati tinggal tunggu kawan yg menemani di sel,Positif
@angelachali3772,gen z jadi reporter be like,Netral
@bvp79,tahun lalu china udah memberi contoh model hukum dlm memberantas korupsi tp indonesia tak mau mencontohnya dgn alasan ham,Negatif
@revachocolate2216,menyala abangku reporter teruskan,Positif
@munawirwin9918,paling tuntutan jaksa tahun rp hukuman penjara tahun rp hukuman penjara tahun,Negatif
@UPrab-qj8ei,selama uu sita aset bkm disahkan selama koruptor blm di hukum mati walaupun ada kejagung dan dibantu kpk pun korupsi tdk akan hilang dr negeri ini selama hukuman yg terlaku ringan di negeri ini namun tetap saya salut ama kejagung,Negatif
@KutuMetal-j8o,setiap konspirasi harus ada yg jadi tumbal demi menutupi rahasia yg lebih besar,Negatif
@aldiapriansyah9305,gosong cheff,Netral
@nelsonbida9958,ini yg dulu sering berteriak soal ahklak ke bawahannya ternyata mreka yg ngk ada ahklak,Negatif
@dhanielmanurung3415,nonton metro tv karna mas ini,Netral
@BliBilly,berani sangat mantap mimin metro,Positif
@habib.af75,lindungi beliau,Positif
@aisyahmubarak8614,sabar ya bu karen allah akan melindungi dirimu yg zolim pasti dilaknat allah aamiinn,Negatif
@wisastragoesty7249,ibu karen harus berani buka semua nya se jelas nya aamiin,Positif
@HBudionoHMBA,kebenaran tetap berada pada tempatnya begitu juga keburukkan berada pada tempatnya kebenaran dan keburukkan akan muncul pada waktunya buka semua apa yang terjadi di pertamina bu karen sejak awal menjabat telah disematkan pejabat yang bagus dan punya reputasi yang cemerlang,Negatif
@Istimevva,ibu ini org jujur dr jawabannya lugas kalau bohong bertele cari pembenaran tapi ibu ini tidak lugas dann dr gesture wajar jujur dan menahan beban,Positif
@Mr.Brick1359,absolute cinema,Netral
@fariez26,yg bangga kerja di pertamina hallo apa kabar,Negatif
@zhaggychannel3783,kejagung baru kerja bener kpk hanya bekerja sesuai pesanan,Negatif
@mr.robert2334,makin asik nih metro wkwk auto subscribe,Netral
@Gavchky,dari sekian banyak tersangka kasus korupsi saya kasihan melihat ibu ini sudah tua memikul tanggung jawab yg berat atas tindakannya meskipun bukan dia sendiri pelakunya,Negatif
@heriaryanto5621,lanjut pln yg rakyat selalu bayar tapi selalu rugi alasan kemarin ada diskon cuma bulan tapi dekade ngapain alasan pemeliharaan dan pemabngunan kan ada anggaran dan kucuran subsidi dari pemerintah jadi sangat janggal pasti ratusan triliun juga sama halnya seperti bumn yg sudah,Negatif
@hannibal_smith851,dari intonasi suara gestur dan mikro ekspresi jelas dia dalam tekanan dan tidak sendiri pasti ada perintah dan permainan dari para mafia lain,Negatif
@Djumhana-e7r,harus di adakan olimpiade dunia di cabang koropsi peringkat dunia semoga pertamina di rengking kedua di dunia menanti juara pertamanya semoga indonesia maju dalam hal pengkoropsian dunia,Negatif
@kadhiiom6858,inilah gunanya uu perampasan asset segera disahkan utk kemakmuran rakyat,Negatif
@kangklnx,bro memasak dengan sangat baik,Negatif
@LaokKelana,jika negara indonesia ingin merdeka sepenuhnya sudah tidak ada solusi lagi untuk para koruptor yg merugikan negara jalan satu satunya ya harus di sah kan undang hukuman mati dan miskinkan,Negatif
@AetherRim,pucuk dingin bos,Netral
@1360CLAN,kawal presenternya supaya gak ilang,Negatif
@husamudin2712,begitu kayanya negeri ini begitu banyak uang negara dirampok secara ugal an tp bangsa ini masih ada tuhan masih sayang sama kita,Negatif
@novaprime8972,secara gestur klo orang beneran salah sih cenderung menghindari awak media nah klo bu karen ini malah ingin berlama lama di depan media dengan semua penjelasan yang mantap tanpa mikir itu tanda nya semua penjelasannya berdasarkan realita pengalaman dia bekerja waktu itu tdk ada yg di konstruk sayang sekali guru besar harvard dijadikan tumbal seperti ini,Negatif
@yeniyeni7191,mbak karen memang kren argumentasi analaysis profit implementasi dirunut terstrukstur terukur cepat dan tepat semoga penjahat kerah putih bisa ditumpas dibrantas dari pucuk sampai keakarnya demi indonesia yg adil makmur sejahtera semoga,Negatif
@dianasutyoso6461,sangat menakutkan bekerja di perusahaan besar terutama di indonesia mau berusaha terbaik untuk negara sdh mengikuti perintah tetap disalahkan msh hrs dicaplok dan dikorbankan sangat disayangkan semangat bu karen,Negatif
@valdianapart2,cara bawa pemberitaan nya terbaik,Negatif
@Maini_otodidax,jika memang ibu ini benar semoga alloh swt melindunginya dan yg suka mendzolimi di beri peringatan sesuai yg di lakukan nya,Positif
@DaengAlle15,rakyat bersamamu,Negatif
@subandiman6238,gimna mau maju banyak koruptor dijajah sama koruptor dinegeri sendiri wahai pejabat nih sy rakyat indonesia tolonglah sejahterakan dulu rakyat jelata,Negatif
@KenkoHarru-p1w,hanya di wakanda korupsi gak nanggung boss sampai bergidik bulu kuduk dengan angka yg sangat fantastis bravo koruptor kalian luar biasa biadabnya,Negatif
@hadidarma2075,hebat kejaksaan berani menetapkan bos minyak ini yg dari dulu gk tersentuh hukum,Negatif
@kosakata8632,klo perintah jabatan ya mending mundur atau pensiun dini bu,Positif
@iisan1,sopan banget pas penyematan jas korupsi dan pemberian gelang di tangan dan juga semua tersangka kompak social distancing pake masker salut,Negatif
@kisraofficial3820,mereka cuma pelaksana pelaku utama masih ngopi sambil nonton berita ini dan baca komentar netizen,Negatif
@onedypictures2575,kpk sekarang memang sulit di percaya,Negatif
@nginx404_not_found6,gelap,Negatif
@hafidzah2011,segera dpr sahkan undang perampasan aset koruptor,Negatif
@istiyo235,setiap kasus korupsi dg kerugian besar di korporasi sudah pasti ada skenario dalang dibaliknya pejabat yg terjerat biasanya pelaku abs yg tegiur dan menikmatinya,Negatif
@Suara.Rakyat2023,saya lihat ibu gamblang menjelaskan lurus banyak berdoa bu tetap tegar yakin allah pasti tolong,Positif
@misradi9244,kenapa orang baik dan jujur kok mesti jadi korbann semoga azab yg dijanjikan oleh pencipta secepatnya ada amin,Positif
@aha2808,inshaalloh bu karen ada dijalan yang lurus bongkar habis siapa otak korupsi di pertamnia,Positif
@yatnayatna5204,ibu itu harus kita dukung untuk membongkar para koruptor,Positif
@asihwidayati9243,smg kebenaran terungkap tetap tegar bu ini kasus kayaknya mirip kasus pak plate bts,Positif
@suhaemimachmir7858,korek sampai ke akar akarnya jaringan korupsi ini,Negatif
@mariaalqibtiyaa143,sy percaya penjelasan bu karen insya allah kebenaran akan muncul berjuanglah bu allah beserta orang yg sabar,Positif
@JodekaBimo-mv8el,bu karen hebat lewat ibu akan terbuka semua bu ibu orang baik ibu karen sangat keren bangat bu buka selebar lebarnya bu,Positif
@syarifhidayatul2597,sopan ya penangan maling berdasi beda kalo nanganin maling biasa,Negatif
@suhaemimachmir7858,bravo kejaksaan agung ri,Netral
@MOJA-RF-DP8,metro tv sedang memasakk,Positif
@umayahsamsoel1075,kpk di bawah pak firly karena kepentingan bukan murni memberantas korupsi yang sabar bu orang yang nggak korupsi aja di cari kesalahannya,Negatif
@edyroes6083,semoga diberikan kesehatan ibu tetap semangat,Positif
@nouveleffendi565,bongkar tuntas bu karen,Netral
@bijaijah523,takngkap itu presiden jgn biarkan dia pura gk ikut dan cuci tangan,Negatif
@cokiMoy,kerugian negara sangat besar belum lagi kerugian rakyat yang mengunakan minyak tersebut parah ini hukum seberat berat nya,Negatif
@wanabi-e5n,suara ibu merdu lebih merdu dari penyanyi papan atas semoga nyanyian ibu yg merdu itu bisa membuka kebenaran yg telah dibungkam oleh para kutu busuk semangat bu,Positif
@ApeApen,mantap bu luar biasa tegar semangat tegas dan lugas bongkar aja bu biar tidak jadi korban sabar bu sehat selau dan keluarga tabah dan ikhlas menerima ujian aamiin yra,Positif
@shine0445,koruptor di negeri ini blas ga ada takut dan malunya krn hukumannya ga buat pelaku jera,Negatif
@alexayeoraffa2252,indonesia gak kurang orang pintar tapi kurang nya orang yg jujur indonesia kondisi nya bahaya korupsi yg menjadi budaya harus ada pembaruhan untuk hukum pada koruptor hukum mati,Negatif
@jasajoky,kutunggu nyanyian merdumu,Negatif
@radiabdulazis2666,yg profesional kadang banyak orang tidak suka dan ketika ada celah titik lemah orang itu menggunakannya utk menyerangnya yang banyak silaturahmi tanda kutip malah itu yg aman saja meski tidak profesional,Negatif
@samueldorgis9359,ayo pak dahlan bu karen sdh secara terbuka hal yg dituduhkan ada perpres dn inpres nya artinya kementrian bumn dn komisaris korporasi pasti mengetahuinya bongkar saja pak masy perlu tahu permainan mafia migas di level penguasa,Positif
@surabayasurabaya89,semoga bu karen selalu diberikan kesehatan,Positif
@kobenilman182,terlihat bu karen nyaman dengan jawabannya dibabat habis pertanyaan wartawan sayang waktu wawancaranya terbatas,Positif
@ahmadgojali5451,bu karen sy tau kna tumbalnya aja ibu expresi wajahnya ibu wajah org jujur semoga ibu panjang umur sehat selalu diberi k selamatan kelancaran dan kemenagan mudahn ketahuan siapa penjahat koruptor yg sebenarnya amien ya allah ya robbalalamin,Positif
@Kaka_Sun_Tasik,nah gitu dong ngasih berita tuh harus vulgar harus berani jgn pengalihan isu mulu kasian masyarakat nya dibodohi terus,Negatif
