comment,label
seluruh rakyat wajib demo ke dpr  utk memaksa dpr utk merevisi undang koruptor  rakyat menggugat,Negative
ah  bentar lgi nicke widyawati nyusul  percaya deh,Negative
ahirnya muntah juga mkn duit haram,Negative
mantap pak prabowo  intel mulai kerja  koruptor mulai sesak nafas jadinya mereka demo terus,Positive
sdh baik dirumah jadi ibu rumah tangga koq mau nya kumpul sama pencoleng,Negative
mungkin para diatas nya mau ganti team work  jadi yaa sudahlahh,Neutral
menyala abang ku,Positive
manstabs mbak karen,Positive
ada ganti rugi  dari negera gratis isi bensin untuk tanggal  febuari  bisa di isi di pom bensin mana saja  gratis selama tanggal tersebut,Neutral
klw gk ada hukuman mati bwt korupsi ya terus beranak pinang di negri ini,Negative
bener dech indonesia darurat korupsi  gila korupsinya sdh banyak yg ratusan triliun,Negative
gimna indonesia  darurat narkoba  darurat koropsi uda merajalela jdi siapa pemimpin kita sekarang,Negative
yang paling dirugikan  dari thn  adalah para konsumen pembeli bbm pertamax di indonesia selama ini kena tipu  ternyata di isi dengan bbm pertalite import  sumoga para pelakunya dapat azab karma  turunan,Negative
indonesia tidak akan bisa maju jika para koruptor di biarkan bergentayangan  di beri amanah ngurus laut korupsi laut  korupsi timah  korupsi bansos  korupsi tanah  korupsi aspal  korupsi batubara  korupsi pajak  korupsi anggaran  korupsi listrik  korupsi jaringan  korupsi emas  korupsi minyak sawit  korupsi beras bulog  korupsi fasilitas umum  korupsi garuda  korupsi kereta api  korupsi reklamasi  korupsi banyak lagi di hampir semua bidang,Negative
layak hukum mati di terapkan,Negative
kalau dilihat statement karen  ybs bukan pejabat sembarangan  beliau orang pintar  yang jadi pertanyaan apakah ada uang ilegal yang masuk ke kantongnya  dan apakah ybs pengambil keputusan  atau sekedar pelaksana  adakah figur lain diatasnya,Neutral
menyala kejagung,Positive
ya allah duit ampe ratusan trilunan  ga ingat di akherat abadi  nti anak cucu di kasi dr hasil korupsi,Negative
hal yg langsung bersinggungan dengan rakyat  pelaku layak dihukum mati,Negative
sby lagi  sby lagi,Neutral
yg beginianlah yg hrs d didemo para mahasiswa  desak pemerintah untuk hukum berat para koruptor dan mengesahkan uu perampasan aset,Negative
koruptor dihukum mati dan dirampas asetnya  baru mantap,Negative
pengkhianat bangsa sesungguhnya ialah koruptor,Negative
waduuh  ketipu lagi,Negative
ayo pak jaksa bersihterus jgn kendor jgn sampai rakyat yg jadi korban terus,Positive
