username,comment
@alvinvinoza,naikin gajinya
@MuklasinMuklasin-k6w,kalo tidak ada hukuman mati sampek kiamat pun negeri ini masi saja ada yg korupsi
@infotodax,gua gak kebayang gaji elu berapa tapi keserakahan lu luar biasa
@febbriyansaputra4132,tolong host nya di support dan di lindungi ini
@chalvit4162,harusnya berita ya kayak begini dibawa santai tapi tajam abang ku
@niutto5910,korupsi di pertamina sudah menjadi budaya mendarah daging di setiap pejabatnya sejak dulu kala tapi baru dibongkar sekarang lebih baik terlambat dari pada tidak bumn dan institusi pemerintah lain juga sama korupnya harus dibongkar semua semoga pemerintahan prabowo benar bisa memberantas korupsi seperti yg dijanjikan
@MuhammadRusmadi-o7k,gila lama jdi terbiasa denger korupsi smpe ratusan triliun sumpah demi tuhan jangankan menuju indonesia emas yg ada menuju indonesia sakaratul maut
@johansigarantang,pria yang menurut gw pemberani ahmed nurmagedov host berita metro tv ini menurutku kreatif sama berani sekali kelihatan siapa yang mendukung dan siapa yang menyembunyikan
@alfath4971,pertamina dan pln harus di selidiki itu rugi terus kpk woi kerja
@Lyvimoon,shesshh beliau terlalu fokus memasak sampai lupa mengatur apinya yang terlalu membara lindungi beliauu jangan sampe pejabat yang baperan dan gak terima dikatain seperti itu menghukum beliau dengan alasan mencerkan nama baik semoag gak ada deh pejabat yang gak tau diri kek gitu otw subrekk
@Rizallaufa_2014Rizallaufa,penulis naskah harus di beri penghargaan cooking liga korupsi
@imanradiman-xb7sq,saya setuju ucapan bu karen bongkar saja siapapun yg turut menikmati korupsi jangan takut dari pada ditanggung sendiri dan kalau bisa sebut saja namanya jangan ragu ok
@anasrullah4641,let him cook
@ardia2308,saya kangen ada hakim yg memvonis koruptor hukuman mati atau minimal tahun penjara
@rudypri100,korupsi minimal milyar hukuman mati pasti indonesia makmur setuju nggak
@ojolgaming9138,dari tatapan matanya saya rasa penjelasan ibu ini jujur dan tanpa ditutupi
@ForumAnakBangsa,media harusmya begini bukan sekedar memberitakan tp juga mencerdaskan warga negara
@ManzrealID,baru kali ini nonton berita sampai akhir
@KYA057,berita tepi jurang
@nr777s,stand up terjun jurang
@tayokids8865,luar biasa lugas beradab dan mantap penjelasannya salam hormat bu karen
@kidemang8606,gila pak presiden rakyat mendukungmu terbitkan perpu perampasan aset koruptor pak presiden
@sukoharjan1505,nampak bu karen sangat tegar dg jawaban yang lancar
@Djaisabdulajis,yg beginianlah yg hrs d didemo para mahasiswa desak pemerintah untuk hukum berat para koruptor dan mengesahkan uu perampasan aset
@mariasyarif884,orang yg bersalah biasanya tidak mau berkomentar atau memberikan keterangan bahkan menganggap dirinya korban tapi ibu menjawab semua pertanyaan dengan lancar dan no komen ttg siapa yg mengorbankannya
@carsahamdaniofficial,ribuan pemulung di bantargebang mencari uang ribu susah payah harus memilah sampah yg penuh penyakit ini orang malah seenaknya uang trilyunan dimakan melalui jabatan rakyat hanya bisa mendoakan agar mereka hidup jadi pemulung
@IdeKreatif1814,tetap tegar tegas mentalnya kuat bngt bu smg ini hny ujian naik kelas byk berdoa krn allah swt maha tahu segalanya
@mahdinafi4393,korupsi aja semua terus sampai indonesia bangkrut
@Mr4ngg4,tetap semangat tegar y bu karen insyaallah semua tabir akan terbuka waktu akan berbicara untuk mengungkap kebenaran
@nihnu-q7m,anjai kali ini metrotv mewakili saya sebagai penggemar bola
@pramistyo5025,yg rugi itu rakyat bukan negara tetap untung
@cokhro7228,ibu karen bukan pelaku sebenarnya dia hanya dijadikan tumbal
@syamsulusroqusroq3148,ini jawaban yang mantap tanpa teks jujur dari hati tinggal tunggu kawan yg menemani di sel
@angelachali3772,gen z jadi reporter be like
@bvp79,tahun lalu china udah memberi contoh model hukum dlm memberantas korupsi tp indonesia tak mau mencontohnya dgn alasan ham
@revachocolate2216,menyala abangku reporter teruskan
@munawirwin9918,paling tuntutan jaksa tahun rp hukuman penjara tahun rp hukuman penjara tahun
@UPrab-qj8ei,selama uu sita aset bkm disahkan selama koruptor blm di hukum mati walaupun ada kejagung dan dibantu kpk pun korupsi tdk akan hilang dr negeri ini selama hukuman yg terlaku ringan di negeri ini namun tetap saya salut ama kejagung
@KutuMetal-j8o,setiap konspirasi harus ada yg jadi tumbal demi menutupi rahasia yg lebih besar
@aldiapriansyah9305,gosong cheff
@nelsonbida9958,ini yg dulu sering berteriak soal ahklak ke bawahannya ternyata mreka yg ngk ada ahklak
@dhanielmanurung3415,nonton metro tv karna mas ini
@BliBilly,berani sangat mantap mimin metro
@habib.af75,lindungi beliau
@aisyahmubarak8614,sabar ya bu karen allah akan melindungi dirimu yg zolim pasti dilaknat allah aamiinn
@wisastragoesty7249,ibu karen harus berani buka semua nya se jelas nya aamiin
@HBudionoHMBA,kebenaran tetap berada pada tempatnya begitu juga keburukkan berada pada tempatnya kebenaran dan keburukkan akan muncul pada waktunya buka semua apa yang terjadi di pertamina bu karen sejak awal menjabat telah disematkan pejabat yang bagus dan punya reputasi yang cemerlang
@Istimevva,ibu ini org jujur dr jawabannya lugas kalau bohong bertele cari pembenaran tapi ibu ini tidak lugas dann dr gesture wajar jujur dan menahan beban
@Mr.Brick1359,absolute cinema
@fariez26,yg bangga kerja di pertamina hallo apa kabar
@zhaggychannel3783,kejagung baru kerja bener kpk hanya bekerja sesuai pesanan
@mr.robert2334,makin asik nih metro wkwk auto subscribe
@Gavchky,dari sekian banyak tersangka kasus korupsi saya kasihan melihat ibu ini sudah tua memikul tanggung jawab yg berat atas tindakannya meskipun bukan dia sendiri pelakunya
@heriaryanto5621,lanjut pln yg rakyat selalu bayar tapi selalu rugi alasan kemarin ada diskon cuma bulan tapi dekade ngapain alasan pemeliharaan dan pemabngunan kan ada anggaran dan kucuran subsidi dari pemerintah jadi sangat janggal pasti ratusan triliun juga sama halnya seperti bumn yg sudah
@hannibal_smith851,dari intonasi suara gestur dan mikro ekspresi jelas dia dalam tekanan dan tidak sendiri pasti ada perintah dan permainan dari para mafia lain
@Djumhana-e7r,harus di adakan olimpiade dunia di cabang koropsi peringkat dunia semoga pertamina di rengking kedua di dunia menanti juara pertamanya semoga indonesia maju dalam hal pengkoropsian dunia
@kadhiiom6858,inilah gunanya uu perampasan asset segera disahkan utk kemakmuran rakyat
@kangklnx,bro memasak dengan sangat baik
@LaokKelana,jika negara indonesia ingin merdeka sepenuhnya sudah tidak ada solusi lagi untuk para koruptor yg merugikan negara jalan satu satunya ya harus di sah kan undang hukuman mati dan miskinkan
@AetherRim,pucuk dingin bos
@1360CLAN,kawal presenternya supaya gak ilang
@husamudin2712,begitu kayanya negeri ini begitu banyak uang negara dirampok secara ugal an tp bangsa ini masih ada tuhan masih sayang sama kita
@novaprime8972,secara gestur klo orang beneran salah sih cenderung menghindari awak media nah klo bu karen ini malah ingin berlama lama di depan media dengan semua penjelasan yang mantap tanpa mikir itu tanda nya semua penjelasannya berdasarkan realita pengalaman dia bekerja waktu itu tdk ada yg di konstruk sayang sekali guru besar harvard dijadikan tumbal seperti ini
@yeniyeni7191,mbak karen memang kren argumentasi analaysis profit implementasi dirunut terstrukstur terukur cepat dan tepat semoga penjahat kerah putih bisa ditumpas dibrantas dari pucuk sampai keakarnya demi indonesia yg adil makmur sejahtera semoga
@dianasutyoso6461,sangat menakutkan bekerja di perusahaan besar terutama di indonesia mau berusaha terbaik untuk negara sdh mengikuti perintah tetap disalahkan msh hrs dicaplok dan dikorbankan sangat disayangkan semangat bu karen
@valdianapart2,cara bawa pemberitaan nya terbaik
@Maini_otodidax,jika memang ibu ini benar semoga alloh swt melindunginya dan yg suka mendzolimi di beri peringatan sesuai yg di lakukan nya
@DaengAlle15,rakyat bersamamu
@subandiman6238,gimna mau maju banyak koruptor dijajah sama koruptor dinegeri sendiri wahai pejabat nih sy rakyat indonesia tolonglah sejahterakan dulu rakyat jelata
@KenkoHarru-p1w,hanya di wakanda korupsi gak nanggung boss sampai bergidik bulu kuduk dengan angka yg sangat fantastis bravo koruptor kalian luar biasa biadabnya
@hadidarma2075,hebat kejaksaan berani menetapkan bos minyak ini yg dari dulu gk tersentuh hukum
@kosakata8632,klo perintah jabatan ya mending mundur atau pensiun dini bu
@iisan1,sopan banget pas penyematan jas korupsi dan pemberian gelang di tangan dan juga semua tersangka kompak social distancing pake masker salut
@kisraofficial3820,mereka cuma pelaksana pelaku utama masih ngopi sambil nonton berita ini dan baca komentar netizen
@onedypictures2575,kpk sekarang memang sulit di percaya
@nginx404_not_found6,gelap
@hafidzah2011,segera dpr sahkan undang perampasan aset koruptor
@istiyo235,setiap kasus korupsi dg kerugian besar di korporasi sudah pasti ada skenario dalang dibaliknya pejabat yg terjerat biasanya pelaku abs yg tegiur dan menikmatinya
@Suara.Rakyat2023,saya lihat ibu gamblang menjelaskan lurus banyak berdoa bu tetap tegar yakin allah pasti tolong
@misradi9244,kenapa orang baik dan jujur kok mesti jadi korbann semoga azab yg dijanjikan oleh pencipta secepatnya ada amin
@aha2808,inshaalloh bu karen ada dijalan yang lurus bongkar habis siapa otak korupsi di pertamnia
@yatnayatna5204,ibu itu harus kita dukung untuk membongkar para koruptor
@asihwidayati9243,smg kebenaran terungkap tetap tegar bu ini kasus kayaknya mirip kasus pak plate bts
@suhaemimachmir7858,korek sampai ke akar akarnya jaringan korupsi ini
@mariaalqibtiyaa143,sy percaya penjelasan bu karen insya allah kebenaran akan muncul berjuanglah bu allah beserta orang yg sabar
@JodekaBimo-mv8el,bu karen hebat lewat ibu akan terbuka semua bu ibu orang baik ibu karen sangat keren bangat bu buka selebar lebarnya bu
@syarifhidayatul2597,sopan ya penangan maling berdasi beda kalo nanganin maling biasa
@suhaemimachmir7858,bravo kejaksaan agung ri
@MOJA-RF-DP8,metro tv sedang memasakk
@umayahsamsoel1075,kpk di bawah pak firly karena kepentingan bukan murni memberantas korupsi yang sabar bu orang yang nggak korupsi aja di cari kesalahannya
@edyroes6083,semoga diberikan kesehatan ibu tetap semangat
@nouveleffendi565,bongkar tuntas bu karen
@bijaijah523,takngkap itu presiden jgn biarkan dia pura gk ikut dan cuci tangan
@cokiMoy,kerugian negara sangat besar belum lagi kerugian rakyat yang mengunakan minyak tersebut parah ini hukum seberat berat nya
@wanabi-e5n,suara ibu merdu lebih merdu dari penyanyi papan atas semoga nyanyian ibu yg merdu itu bisa membuka kebenaran yg telah dibungkam oleh para kutu busuk semangat bu
@ApeApen,mantap bu luar biasa tegar semangat tegas dan lugas bongkar aja bu biar tidak jadi korban sabar bu sehat selau dan keluarga tabah dan ikhlas menerima ujian aamiin yra
@shine0445,koruptor di negeri ini blas ga ada takut dan malunya krn hukumannya ga buat pelaku jera
@alexayeoraffa2252,indonesia gak kurang orang pintar tapi kurang nya orang yg jujur indonesia kondisi nya bahaya korupsi yg menjadi budaya harus ada pembaruhan untuk hukum pada koruptor hukum mati
@jasajoky,kutunggu nyanyian merdumu
@radiabdulazis2666,yg profesional kadang banyak orang tidak suka dan ketika ada celah titik lemah orang itu menggunakannya utk menyerangnya yang banyak silaturahmi tanda kutip malah itu yg aman saja meski tidak profesional
@samueldorgis9359,ayo pak dahlan bu karen sdh secara terbuka hal yg dituduhkan ada perpres dn inpres nya artinya kementrian bumn dn komisaris korporasi pasti mengetahuinya bongkar saja pak masy perlu tahu permainan mafia migas di level penguasa
@surabayasurabaya89,semoga bu karen selalu diberikan kesehatan
@kobenilman182,terlihat bu karen nyaman dengan jawabannya dibabat habis pertanyaan wartawan sayang waktu wawancaranya terbatas
@ahmadgojali5451,bu karen sy tau kna tumbalnya aja ibu expresi wajahnya ibu wajah org jujur semoga ibu panjang umur sehat selalu diberi k selamatan kelancaran dan kemenagan mudahn ketahuan siapa penjahat koruptor yg sebenarnya amien ya allah ya robbalalamin
@Kaka_Sun_Tasik,nah gitu dong ngasih berita tuh harus vulgar harus berani jgn pengalihan isu mulu kasian masyarakat nya dibodohi terus
@RahmatNata-q3j,alhamdulillah terima kasih bapak kejagung ri action seperti ini sangat membahagiakan sekaligus membanggakan kami rakyat nkri habisin bersihkan sampe akar nya penghianat rakyat b e n a l u bangsa dan negara b r a v o s e m a n g a t salam rahayu
@ghazi283,karena orang pandai dan banyak berkecimpung di dunia migas banyak jasa yang diberikan di sektor migas kasus ini semua dipolitisir demi kepentingan politik dan golongan tertentu
@Gun-cu4vn,kl emang bersih ibu maju terus sampai biang keroknya ketemu rakyat sll mendoakan orng yg bersih smga masalah ibu cepat selsai aamiin yra
@adiwijayanto5561,bismillah semoga ibu diberi kesehatan kesabaran dan mendapat jalan keluar serta petunjuknya
@trihidayati4422,mantap bu karen seorang wanita yg tangguh dan berani semoga beliau kuat menerima ujian berat ini
@mikoLea,mohon informasi apakah pertamax dari pertamina yg beredar sekarang masih yg dioplos
@WawanHermawan-es8uj,mereka ternyata impor pertalite dijual jadi pertamax selama ini konsumen dirugikan beli pertamax ternyata isinya pertalite
@apulpsimorangkir7877,semoga menjadi pintu masuk mengungkap pelaku utama sebenarnya yang telah menguasai bisnis minyak di pertamina tahun lebih orang tsb hanya generasi baru saja tetapi pelaku utama yg sudah mengakar belum
@gabrielmaliq,tanpa teks hapal semua detail di jawab semua pertanyaan secara lugas tegas dgn tatapan penuh keyakinan tanpa mencla mencle
@waprasetyo6855,tetap semangat bu semoga allah swt kasih jalan terbaik buat ibu dan keluarga serta pejabat yang benar berjuang buat kepentingan rakyat
@christinesugito2561,rampok berjamaah melibatkan banyak pelaku dan merugikan konsumen dan jangka waktu rampoknya tahun gimana negara tidak bangkrut
@Aldi__mil,korupsi lagi korupsi lagi gmana korupsi mau mengecil kalo tuntutannya rendah gk ada yg peka gk ada yg takut rakyat lah yg kena akibatnya pdhl kita gk salah negara demokrasi
@MEDIAARMY,hukuman mati bagi para korupsi
@rajabatik4904,ibuk ini kuat mungkin krn merasa tdk salah
@ary1ststyowati291,y allah uang itu yaa buat apa aj pak d saat rakyat bingung cari pekerjaan cari uang cari makan
@papapjoshua3563,ibu karen ini korban rezim laknat
@BajJangNur,ayoo bu kare bongkar bagimu negeri indonesia maju merdekaa
@aremajaya6189,klo memang benar bukan kemauan pribadi seret semua yg bersangkutan biar tuntas
@bambangjanuarwinarto2642,akibat tindakan perlu dibawa ke pidana tetapi tindakan mengoplos dan berakibat pada kerugian rakyat yang menggunakan harus ada tindakan pelaku harus mengganti kerugian ke semua rakyat indonesia yang sudah di tipu dengan tidak sesuai yg telah dibeli itupun sudah tahun dilakukan ganti kerugian pada rakyat indonesia oleh pelaku
@budimansitorus4373,pada masa siapa keputusan nya ya katakan tidak pada korupsi
@Alok99daimen-iq8cn,beda dari yang lain jos metro tv
@meirzarousvianto2372,sedih buu saya mendegarnya ini dulu mendengar ibu karen d bebaskan demi hukum saya ikut senang ibu salah satu putri terbaik indonesia semoga ibu dpt melewati cobaan ini dan d berikan kekuatan oleh allah swt buktikan semua d persidangan bu karen
@1030type,ama dirutnya produksi kilang di turunin biar bisa open impor minyak mentah masih kurang kenyang pertalite di oplos di jual pake harga pertamax ini di sektor minyak belum di beras gula dan lain di sini masyarakat bisa gamblang liatnya apa itu mafia terima kasih orang yg udah nangkep ini
@Sapu-sapu.official,kelazz
@Luxire_yomeware,ini yg kita suka
@fredoaji9539,perempuan tegas dan lancar menjawab dengan sistematis tidak menghindar dan berbelit hebat sih kl diliat dr wawancara td mudahan proses hukum berlaku jujur dan objektif
@PanglimaPejuang,selidiki juga itu telkomsel mesti di audit juga telkomsel
@sayidhelmy610,sita assetnya uu perampasan asset secepatnya disahkan dpr miskinkan koruptor tks
@dodokdai4208,semoga yg penguasa dzalim segera kena adzab
@esaefullah965,hukum mati dengan cara disuruh minum pertamax rasa pertalite bukan hanya negara yang dirugikan tapi juga jutaan konsumen yang selama ini sudah tertipu dirugikan oleh perbuatan mereka bagaimana juga pertanggungjawaban pertamina dalam kasus ini
@iwanibo0710,hukum gantung bos buat korupsi
@rudika2095,setenang itukah wajah koruptor
@RevaNur-i6i,kasihan karen jadi kambing hitam firli berulang kali jadi eksekutor
@galileogalilei8213,kewenangan mengambil sebuah kebijakan oleh pejabat publik sekarang bisa jadi ranah pidana korupsi padahal tidak ada bukti aliran dana ke rekening pribadi ngeri sekali model penegakan hukum di indonesia sekarang mudah mengkriminalisasi pejabat publik untuk menaikkan popularitas institusi jangan heran ke depan pejabat publik bakal jadi pasif dan enggan mengambil keputusan karena kalau keputusannya salah secara bisnis risikonya bisa dikriminalisasi kpk dan kejaksaan
@Sukarji-z1g,mantap kejagung dan kpk semoga dalam kerjanya amanah jujur dan terbuka demi kesejahteraan masyarakat indonesia
@NgajiMedsoS,tolong bu karen dijaga awasi menu makanannya selama di tahanan karena mafia migas bisa meracuni bu karen
@ishamare739,menyala shell kuhh
@2000get,yang terhormat jaksa agung hakim dan penegak hukum proses mereka dengan hukuman terberat miskinkan dengan menyita aset mereka agar menjadi pelajaran bagi mereka yang mengkhianati negara karena pelanggaran terhadap undang dengan mengeruk kekayaan bumi pertiwi untuk kekayaan pribadi adalah pengkhianatan cita bangsa
@MaatZ_77,metro sedang memasak
@surolawe2222,bebaskan krn perintah aturan
@muhammadfazalabiyakhsya113,dukung poll
@voltes1979,hukum mati semua koruptor dimiskinkan keluarganya aminn
@mashudialanwary5900,dan semoga seperti sebelumnya bahwa beliau bebas di tingkat ma karena memang keputusannya adalah keputusan korporasi dan pernah mengikuti kuliah umum dulu di kampus beliau memang orang yang pandai dan berintegritas semoga allah mudahkan urusan bu karen aamiin
@srimartini7400,pertamina berjaya di bawah kepemimpinan ibu karen satu wanita tangguh cerdas
@iansupriyantoian4671,semoga ibu sehat selalu dan para bajingan nya presiden bisa di tangkap juga yang terlibat
@saidadebataradja5793,sita semua aset tiap oknum tegakkan fasal maksimal lho spt tatakelola timah agar ada keadilan utk putusan hukuman nya semangat terus aph
@marbunbarus2527,klu anda masih percaya pada penegak hukum anda dapat diduga adalah odgj
@Kulo_fann,banyakin berita kek gini min
@mohammadtaufiq8580,rampas harta koruptor hukum mati
@HamidiDidi-o6y,kenapa indonesia ngak bisa maju dan kenapa rakyat indonesia masih banyak yang miskin karena korupsi merajalela di negri ini
@johnfelics177,hebat indonesia sllu rekor dlm korupsi enaknya diapain ya para koruptor ini
@pakarilmu433,sby sekarang ketar ketir sport jantung karena karen agustiawan buka mulut siapa otaknya korupsi di pertamina
@herukusumo206,berarti presiden saat itu masih sby kalau mendengar pengakuan mantan dirut pertamina dia hanya melaksanakan inpres yang dikeluarkan sby pada saat itu berarti sby yang bertanggung jawab
@erikawidowati6785,jangan ibu karen jadi korban jabatan krn hrs memenuhi kepentingan tuntutan pemerintahan pada waktu itu ya
@bikerskampung5992,malingnya sehat sopan dan ahli ibadah
@moderasi,keadilan sosial bagi seluruh rakyat indonesia tidak untuk kejahatan korupsi dan penanganan koruptor
@agunghariyono2528,pertama siapa dulu yang mengangkat dia menjadi direktur jabatan puncak di pertamina mereka juga harus dimintai pertanggungjawaban tidak boleh melenggang lepas tangan begitu saja kedua saatnya melepaskan urusan politik dalam tata kelola dan manajemen sdm seluruh kementrian dan bumn jalankan merit sistem secara obyektif yang berbasis pada kompetensi dan kapabilitas ketiga libatkan para psikolog senior untuk melakukan screening agar tidak ada jiwa kere yang bisa lolos menduduki posisi dan jabatan strategis diseluruh lembaga pemerintahan dan bumn jalankan hukuman mati kepada para koruptor
@CahGalau,saya pikir kpk lah yang tidak fair dan tidak punya ilmu akuntansi yang cukup baik dan hanya menggunakan kekuasaan untuk alasan tertentu ini menunjukkan bahwa kpk saat ini harus dirombak ataupun dibubarkan saja
@TarisaPonsel-sm4ty,wah berarti sy ditipu sama dirut ini beli pertamax eh dapet pertalit ancoorr
@amienmujiono1938,saya suka brita begini indah sekali negriku
@prabuagusta3096,yakin bu karen tidak bersalah may god bless you bu
@andianta1263,semua aspek di korupsi bener negeri korup miiris nya negeri ku
@khastachanel355,rakyat kecil suruh barcode yang atas main korupsi
@rikioktriansyah,keren penyampaian beritanya
@yosi_ALL,testimoni jujur sebagai pengguna lama pertamax saya pengguna pertamax sejak lama kandungan sulfur pada pertamax memang sangat tinggi diangka ppm dimana angka ini sama dengan tingkat kandungan sulfur pada pertalite bahkan pertamax ini hanya bbm berkualitas euro kandungan sulfur yang tinggi ini mengakibatkan endapan kotoran kerak karbon di dalam ruang bakar mesin selama saya menggunakan pertamax rata setiap tahun sekali rotax fuel pump saya pasti rusak dan setiap saya bongkar mesin saya menemukan piston di dalam ruang bakar mesin saya dipenuhi endapan kotoran kerak karbon jadi klaim yg mengatakan penggunaan bbm jenis pertamax dapat membersihkan ruang bakar mesin adalah bull shit
@mfajaralghifari8961,gila ini mafia cuyy
@creativet4915,sebagai rakyat kami lebih percaya karen daripada kpk karena kpk sekarang bagi kami rakyat bermasalah
@CahSendang-j2f,jgn pakai masker biar sodara dan keluarga besar nya tau
@yosuachristanto4914,kerja di bumn harus siap dipenjara setiap kerugian business dianggap kerugian negara alias tindak pidana korupsi mengerikan sekali negara tidak mau rugi hanya mau untungnya saja mana ada business yang pasti untung sangat aneh kebijakan di negeri ini
@akhmad_efendi,pertamina untung tapi kenapa selalu yang di sampaikan ke rakyat pertamina selalu merugi perusahaan negara yang mengelola sumber daya alam tetapi jika untung masuk kantong pejabat jika rugi menyalahkan rakyat bumn kok gak ada manfaat ke rakyat cuma alat cari cuan pejabat mending bubarin sajalah bumn
@b88866,yg komen pada ga nyambung ini mah jamannya si baper
@warungwbl5907,ak yakin ibu ini ga seauai tuntutan ak yakin ada orang yg menjebloska ibu ini sehat selalu bu moga ad jalan untuk permasalahan ini
@TaufiKSudrajat-n9u,mudahan bapak presiden menjadikan indonesia bebas korupsi dan membasmi para penjahat yg terlindungi selama ini
@hidayatullah2709,tikus negeri yg merugikan negara
@cynthiaevelin8612,bro memasak
@MbahMu9829,kasus terdahulu cuma bulan di penjara ruang vip padahal vonis nya tahun kasus ini juga bakal sama asal dia ikuti skenario aja dan gak bocorin duitnya ngalir ke partai mana
